Date : 2020-01-10 19:35:10
Directory : /Users/eystein/Documents/Programmering/lagerstatus/src
Total : 183 files,  14633 codes, 242 comments, 1848 blanks, all 16723 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/Subscription.ts                            | TypeScript       |         48 |          0 |         10 |         58 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/admin.ts                                   | TypeScript       |        170 |          8 |         16 |        194 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/findReport.ts                              | TypeScript       |         83 |          1 |         15 |         99 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/firebase.ts                                | TypeScript       |         35 |          1 |         11 |         47 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/history.ts                                 | TypeScript       |         12 |          0 |          3 |         15 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/types.ts                                   | TypeScript       |         23 |          0 |          4 |         27 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/firebase/user.ts                                    | TypeScript       |         10 |          0 |          2 |         12 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useAuthLocation.ts                            | TypeScript       |         28 |          0 |          8 |         36 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useDemo.ts                                    | TypeScript       |         22 |          0 |          8 |         30 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useEditableList.ts                            | TypeScript       |         22 |          0 |          8 |         30 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useFilterableList.ts                          | TypeScript       |         29 |          8 |          9 |         46 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useGate.ts                                    | TypeScript       |         23 |          1 |          7 |         31 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useInitialization.ts                          | TypeScript       |        132 |          7 |         15 |        154 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useKeyPress.ts                                | TypeScript       |         33 |          0 |          6 |         39 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useLoadedGate.ts                              | TypeScript       |         98 |          0 |          7 |        105 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useLocation.ts                                | TypeScript       |         21 |          1 |          5 |         27 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useMargin.ts                                  | TypeScript       |         20 |          0 |          6 |         26 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useNames.ts                                   | TypeScript       |         23 |          0 |          7 |         30 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useProducts.ts                                | TypeScript       |         18 |          0 |          5 |         23 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useRedirect.ts                                | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useReports.ts                                 | TypeScript       |        122 |          1 |         22 |        145 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useSaving.ts                                  | TypeScript       |        104 |         31 |         11 |        146 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useSearch.ts                                  | TypeScript       |         36 |         12 |          6 |         54 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/hooks/useSortableList.ts                            | TypeScript       |         49 |          0 |          7 |         56 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/index.tsx                                           | TypeScript React |         13 |          3 |          4 |         20 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Admin/Admin.tsx                               | TypeScript React |        144 |         13 |         17 |        174 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Admin/index.ts                                | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Categories/Categories.tsx                     | TypeScript React |         71 |          0 |         10 |         81 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Categories/index.ts                           | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Customers/Customer.tsx                        | TypeScript React |         32 |          0 |          4 |         36 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Customers/CustomerHistory.tsx                 | TypeScript React |        138 |          0 |         17 |        155 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Customers/Customers.tsx                       | TypeScript React |        117 |          1 |          9 |        127 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Customers/EditCustomer.tsx                    | TypeScript React |         87 |          0 |          7 |         94 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Customers/NewCustomer.tsx                     | TypeScript React |         51 |          0 |          6 |         57 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Customers/index.ts                            | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/History/History.tsx                           | TypeScript React |         57 |          1 |          7 |         65 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/History/index.ts                              | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Loans/Loan.tsx                                | TypeScript React |        125 |          0 |         12 |        137 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Loans/Loans.tsx                               | TypeScript React |        150 |          2 |         11 |        163 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Loans/index.ts                                | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/NotFound/NotFound.tsx                         | TypeScript React |         27 |          3 |          5 |         35 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/NotFound/index.ts                             | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Orders/Order.tsx                              | TypeScript React |        116 |          0 |         11 |        127 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Orders/Orders.tsx                             | TypeScript React |        136 |          2 |         14 |        152 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Orders/index.ts                               | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Orders/styles.ts                              | TypeScript       |         11 |          0 |          3 |         14 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Products/Product.tsx                          | TypeScript React |        107 |          0 |          7 |        114 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Products/ProductHistory.tsx                   | TypeScript React |        162 |          0 |         14 |        176 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Products/ProductInfo.tsx                      | TypeScript React |         56 |          0 |         11 |         67 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Products/Products.tsx                         | TypeScript React |        201 |          6 |         18 |        225 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Products/index.ts                             | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Products/styles.ts                            | TypeScript       |         28 |          0 |          7 |         35 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Profile/Profile.tsx                           | TypeScript React |         52 |          0 |          7 |         59 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Profile/index.ts                              | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Sales/Sale.tsx                                | TypeScript React |        114 |          0 |         15 |        129 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Sales/Sales.tsx                               | TypeScript React |        140 |          3 |         13 |        156 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Sales/index.ts                                | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Sales/styles.ts                               | TypeScript       |          6 |          0 |          2 |          8 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Suppliers/EditSupplier.tsx                    | TypeScript React |        170 |          0 |         12 |        182 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Suppliers/NewSupplier.tsx                     | TypeScript React |         51 |          0 |          6 |         57 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Suppliers/Supplier.tsx                        | TypeScript React |         32 |          0 |          4 |         36 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Suppliers/SupplierHistory.tsx                 | TypeScript React |         90 |          0 |          9 |         99 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Suppliers/Suppliers.tsx                       | TypeScript React |        117 |          1 |         10 |        128 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/pages/Suppliers/index.ts                            | TypeScript       |          2 |          0 |          1 |          3 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/react-app-env.d.ts                                  | TypeScript       |          0 |          1 |          1 |          2 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/adminActions.ts                       | TypeScript       |         15 |          0 |          4 |         19 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/authActions.ts                        | TypeScript       |        130 |          0 |         18 |        148 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/categoriesActions.ts                  | TypeScript       |         77 |          1 |         13 |         91 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/customersActions.ts                   | TypeScript       |         80 |          1 |         14 |         95 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/index.ts                              | TypeScript       |         87 |          0 |          8 |         95 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/loansActions.ts                       | TypeScript       |        153 |          0 |         21 |        174 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/notificationActions.ts                | TypeScript       |         37 |          0 |          4 |         41 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/ordersActions.ts                      | TypeScript       |        175 |          3 |         27 |        205 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/productsActions.ts                    | TypeScript       |        105 |          3 |         21 |        129 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/reportsActions.ts                     | TypeScript       |        253 |          3 |         31 |        287 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/salesActions.ts                       | TypeScript       |        174 |          1 |         23 |        198 |
| /Users/eystein/Documents/Programmering/lagerstatus/src/redux/actions/suppliersActions.ts                   | TypeScript       |         82 |          1 |         14 |         97 |
